id,form_id,variable_type_id,source,descriptor
BEDISIN,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Disinhibition
BEIRRIT,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Irritability
BEAGIT,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Agitation
BEPERCH,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Personality change
BEREM,B9,O,v2-3,Subject currently manifests meaningful change in behavior - REM sleep behavior disorder
BEREMAGO,B9,O,v3,"If yes, at what age did the REM sleep behavior disorder begin?"
BEANX,B9,O,v3,Subject currently manifests meaningful change in behavior - Anxiety
BEOTHR,B9,O,v1-3,Subject currently manifests meaningful change in behavior - Other
BEOTHRX,B9,O,v1-3,"Subject currently manifests meaningful change in behavior - Other, specify"
NACCBEHF,B9,D,v1-3,Indicate the predominant symptom that was first recognized as a decline in the subject's behavior
NACCBEFX,B9,D,v1-3,Specification of other predominant symptom that was first recognized as a decline in the subject's behavior
BEMODE,B9,O,v1-3,Mode of onset of behavioral symptoms
BEMODEX,B9,O,v1-3,Specification of other mode of onset of behavioral symptoms
BEAGE,B9,O,v3,"At what age did the behavioral symptoms begin?"
DECCLMOT,B9,O,v3,"Is the subject currently experiencing any motor symptoms?"
MOGAIT,B9,O,v1-3,Indicate whether the subject currently has meaningful changes in motor function - Gait disorder
MOFALLS,B9,O,v1-3,Indicate whether the subject currently has meaningful changes in motor function - Falls
MOTREM,B9,O,v1-3,Indicate whether the subject currently has meaningful changes in motor function - Tremor
MOSLOW,B9,O,v1-3,Indicate whether the subject currently has meaningful changes in motor function - Slowness
NACCMOTF,B9,D,v1-3,Indicate the predominant symptom that was first recognized as a decline in the subject's motor function
MOMODE,B9,O,v1-3,Mode of onset of motor symptoms
MOMODEX,B9,O,v1-3,Specification for other mode of onset of motor symptoms
MOMOPARK,B9,O,v2-3,Were changes in motor function suggestive of Parkinsonism?
PARKAGE,B9,O,v3,"If yes, at what age did the motor symptoms suggestive of Parkinsonism begin?"
MOMOALS,B9,O,v3,Were changes in motor function suggestive of amyotrophic lateral sclerosis?
ALSAGE,B9,O,v3,"If yes, at what age did the motor symptoms suggestive of ALS begin?"
MOAGE,B9,O,v3,"At what age did the motor changes begin?"
COURSE,B9,O,v1-3,Overall course of decline of cognitive/ behavioral/motor syndrome
FRSTCHG,B9,O,v1-3,Indicate the predominant domain that was first recognized as changed in the subject
LBDEVAL,B9,O,v3,Is the subject a potential candidate for further evaluation for Lewy body disease?
FTLDEVAL,B9,O,v3,Is the subject a potential candidate for further evaluation for frontotemporal lobar degeneration?
MMSECOMP,C,O,v3,Was any part of the MMSE completed?
MMSELOC,C,O,v1-3,Administration of the MMSE was:
MMSELAN,C,O,v1-3,Language of MMSE administration
MMSELANX,C,O,v1-3,Language of MMSE administration - Other (specify)
MMSEVIS,C,O,v3,Subject was unable to complete one or more sections due to visual impairment
MMSEHEAR,C,O,v3,Subject was unable to complete one or more sections due to hearing impairment
MMSEORDA,C,O,v1-3,Orientation subscale score - Time
MMSEORLO,C,O,v1-3,Orientation subscale score - Place
PENTAGON,C,O,v2-3,Intersecting pentagon subscale score
NACCMMSE,C,D,v1-3,Total MMSE score (using D-L-R-O-W)
NPSYCLOC,C,O,v1-3,The remainder of the battery was administered:
NPSYLAN,C,O,v1-3,Language of test administration
NPSYLANX,C,O,v1-3,Language of test administration - Other (specify)
LOGIMO,C,O,v1-3,"If this test has been administered to the subject within the past 3 months, specify the date previously administered (month)"
LOGIDAY,C,O,v1-3,"If this test has been administered to the subject within the past 3 months, specify the date previously administered (day)"
LOGIYR,C,O,v1-3,"If this test has been administered to the subject within the past 3 months, specify the date previously administered (year)"
LOGIPREV,C,O,v1-3,Total score from the previous test administration
LOGIMEM,C,O,v1-3,Total number of story units recalled from this current test administration
MEMUNITS,C,O,v1-3,Logical Memory IIA - Delayed - Total number of story units recalled
MEMTIME,C,O,v1-3,Logical Memory IIA - Delayed - Time elapsed since Logical Memory IA - Immediate
UDSBENTC,C,O,v3,Total score for copy of benson figure
UDSBENTD,C,O,v3,Total score for 10- to 15-minute delayed drawing of benson figure
UDSBENRS,C,O,v3,Recognized original stimulus from among four options
DIGIF,C,O,v1-3,Digit span forward trials correct
DIGIFLEN,C,O,v1-3,Digit span forward length
DIGIB,C,O,v1-3,Digit span backward trials correct
DIGIBLEN,C,O,v1-3,Digit span backward length
ANIMALS,C,O,v1-3,Animals - Total number of animals named in 60 seconds
VEG,C,O,v1-3,Vegetable - Total number of vegetables named in 60 seconds
TRAILA,C,O,v1-3,Trail Making Test Part A - Total number of seconds to complete
TRAILARR,C,O,v2-3,Part A - Number of commission errors
TRAILALI,C,O,v2-3,Part A - Number of correct lines
TRAILB,C,O,v1-3,Trail Making Test part B - Total number of seconds to complete
TRAILBRR,C,O,v2-3,part B - Number of commission errors
TRAILBLI,C,O,v2-3,part B - Number of correct lines
WAIS,C,O,v1-2,WAIS-R Digit Symbol
BOSTON,C,O,v1-3,boston Naming Test (30) - Total score
UDSVERFC,C,O,v3,Number of correct F-words generated in 1 minute
UDSVERFN,C,O,v3,Number of F-words repeated in 1 minute
UDSVERNF,C,O,v3,Number of non-F-words and rule violation errors in 1 minute
UDSVERLC,C,O,v3,Number of correct L-words generated in 1 minute
UDSVERLR,C,O,v3,Number of L-words repeated in 1 minute
UDSVERLN,C,O,v3,Number of non-L-words and rule violation errors in 1 minute
UDSVERTN,C,O,v3,Total number of correct F-words and L-words
UDSVERTE,C,O,v3,Total number of F-word and L-word repetition errors
UDSVERTI,C,O,v3,Total number of non-F/L-words and rule violation errors
COGSTAT,C,O,v1-3,"Based on the neuropsychological examination, the subject's cognitive status is deemed"
NACCC1,C,D,v1-3,Form date discrepancy between UDS Form A1 and Form C
MOCACOMP,C,O,v3,Was any part of MoCA administered?
MOCAREAS,C,O,v3,"If no part of MoCA administered, reason code"
MOCALOC,C,O,v3,Where was MoCA administered?
MOCALAN,C,O,v3,Language of MoCA administration
MOCALANX,C,O,v3,"Language of MoCA administration - Other, specify"
MOCAVIS,C,O,v3,Subject was unable to complete one or more sections due to visual impairment
MOCAHEAR,C,O,v3,Subject was unable to complete one or more sections due to hearing impairment
MOCATOTS,C,O,v3,MoCA Total Raw Score - uncorrected
NACCMOCA,C,D,v3,MoCA Total Score - corrected for education
MOCATRAI,C,O,v3,MoCA: Visuospatial/executive - Trails
MOCACUBE,C,O,v3,MoCA: Visuospatial/executive - Cube
MOCACLOC,C,O,v3,MoCA: Visuospatial/executive - Clock contour
MOCACLON,C,O,v3,MoCA: Visuospatial/executive - Clock numbers
MOCACLOH,C,O,v3,MoCA: Visuospatial/executive - Clock hands
MOCANAMI,C,O,v3,MoCA: Language - Naming
MOCAREGI,C,O,v3,MoCA: Memory - Registration (two trials)
MOCADIGI,C,O,v3,MoCA: Attention - Digits
MOCALETT,C,O,v3,MoCA: Attention - Letter A
MOCASER7,C,O,v3,MoCA: Attention - Serial 7s
MOCAREPE,C,O,v3,MoCA: Language - Repetition
MOCAFLUE,C,O,v3,MoCA: Language - Fluency
MOCAABST,C,O,v3,MoCA: Abstraction
MOCARECN,C,O,v3,MoCA: Delayed recall - No cue
MOCARECC,C,O,v3,MoCA: Delayed recall - Category cue
MOCARECR,C,O,v3,MoCA: Delayed recall - Recognition
MOCAORDT,C,O,v3,MoCA: Orientation - Date
MOCAORMO,C,O,v3,MoCA: Orientation - Month
MOCAORYR,C,O,v3,MoCA: Orientation - Year
MOCAORDY,C,O,v3,MoCA: Orientation - Day
MOCAORPL,C,O,v3,MoCA: Orientation - Place
MOCAORCT,C,O,v3,MoCA: Orientation - City
CRAFTVRS,C,O,v3,"Craft Story 21 Recall (Immediate) - Total story units recalled, verbatim scoring"
CRAFTURS,C,O,v3,"Craft Story 21 Recall (Immediate) - Total story units recalled, paraphrase scoring"
DIGFORCT,C,O,v3,Number Span Test: Forward - Number of correct trials
DIGFORSL,C,O,v3,Number Span Test: Forward - Longest span forward
DIGBACCT,C,O,v3,Number Span Test: backward - Number of correct trials
DIGBACLS,C,O,v3,Number Span Test: backward - Longest span backward
CRAFTDVR,C,O,v3,"Craft Story 21 Recall (Delayed) - Total story units recalled, verbatim scoring"
CRAFTDRE,C,O,v3,"Craft Story 21 Recall (Delayed) - Total story units recalled, paraphrase scoring"
CRAFTDTI,C,O,v3,Craft Story 21 Recall (Delayed) - Delay time
CRAFTCUE,C,O,v3,Craft Story 21 Recall (Delayed) - Cue (boy) needed
MINTTOTS,C,O,v3,Multilingual Naming Test (MINT) - Total score
MINTTOTW,C,O,v3,Multilingual Naming Test (MINT) - Total correct without semantic cue
MINTSCNG,C,O,v3,Multilingual Naming Test (MINT) - Semantic cues: Number given
MINTSCNC,C,O,v3,Multilingual Naming Test (MINT) - Semantic cues: Number correct with cue
MINTPCNG,C,O,v3,Multilingual Naming Test (MINT) - Phonemic cues: Number given
MINTPCNC,C,O,v3,Multilingual Naming Test (MINT) - Phonemic cues: Number correct with cue
NACCC2,C,D,v3,Form date discrepancy between UDS Form A1 and Form C
MODCOMM,C,O,v3,Modality of communication used to administer neuropsychological battery
MOCBTOTS,C,O,v3,MoCA blind Total raw score - uncorrected
NACCMOCB,C,D,v3,MoCA-blind Total Score - corrected for education
REY1REC,C,O,v3,Rey Auditory Verbal Learning: Trial 1 total recall
REY1INT,C,O,v3,Rey Auditory Verbal Learning: Trial 1 intrusions
REY2REC,C,O,v3,Rey Auditory Verbal Learning: Trial 2 total recall
REY2INT,C,O,v3,Rey Auditory Verbal Learning: Trial 2 intrusions
REY3REC,C,O,v3,Rey Auditory Verbal Learning: Trial 3 total recall
REY3INT,C,O,v3,Rey Auditory Verbal Learning: Trial 3 intrusions
REY4REC,C,O,v3,Rey Auditory Verbal Learning: Trial 4 total recall
REY4INT,C,O,v3,Rey Auditory Verbal Learning: Trial 4 intrusions
REY5REC,C,O,v3,Rey Auditory Verbal Learning: Trial 5 total recall
REY5INT,C,O,v3,Rey Auditory Verbal Learning: Trial 5 intrusions
REY6REC,C,O,v3,Rey Auditory Verbal Learning: Trial 6 total recall
REY6INT,C,O,v3,Rey Auditory Verbal Learning: Trial 6 intrusions
OTRAILA,C,O,v3,Oral Trail Making Test - Part A: Total number of seconds to complete
OTRLARR,C,O,v3,Oral Trail Making Test - Part A: Number of commission errors
OTRLALI,C,O,v3,Oral Trail Making Test - Part A: Number of correct lines
OTRAILB,C,O,v3,Oral Trail Making Test part B: Total number of seconds to complete
OTRLBRR,C,O,v3,Oral Trail Making Test part B: Number of commission errors
OTRLBLI,C,O,v3,Oral Trail Making Test part B: Number of correct lines
REYDREC,C,O,v3,Rey Auditory Verbal Learning: total delayed recall
REYDINT,C,O,v3,Rey Auditory Verbal Learning: delayed intrusions
REYTCOR,C,O,v3,Rey Auditory Verbal Learning: recognition total correct
REYFPOS,C,O,v3,Rey Auditory Verbal Learning: recognition total false positives
VNTTOTW,C,O,v3,Verbal naming test: total correct without a cue
VNTPCNC,C,O,v3,Verbal naming test: total correct with a phonemic cue
RESPVAL,C,O,v3,How valid do you think the participant's responses are?
RESPHEAR,C,O,v3,What makes this participant's responses less valid? Hearing impairment
RESPDIST,C,O,v3,What makes this participant's responses less valid? Distractions
RESPINTR,C,O,v3,What makes this participant's responses less valid? Interruptions
RESPDISN,C,O,v3,What makes this participant's responses less valid? Lack of effort or disinterest
RESPFATG,C,O,v3,What makes this participant's responses less valid? Fatigue
RESPEMOT,C,O,v3,What makes this participant's responses less valid? Emotional issues
RESPASST,C,O,v3,What makes this participant's responses less valid? Unapproved assistance
RESPOTH,C,O,v3,What makes this participant's responses less valid? Other
RESPOTHX,C,O,v3,What makes this participant's responses less valid? Other (specify)
WHODIDDX,D1,O,v1-2,Who did diagnosis
DXMETHOD,D1,O,v3,Diagnosis method
NORMCOG,D1,O,v1-3,Normal cognition and behavior
DEMENTED,D1,O,v1-3,Met criteria for dementia
NACCUDSD,D1,D,v1-3,Cognitive status at UDS visit
AMNDEM,D1,O,v3,Dementia syndrome - Amnestic multidomain dementia syndrome
PCA,D1,O,v3,Dementia syndrome - Posterior cortical atrophy syndrome (or primary visual presentation)
NACCPPA,D1,D,v1-3,Primary progressive aphasia (PPA) with cognitive impairment
NACCPPAG,D1,D,v3,Dementia syndrome - Primary progressive aphasia (PPA) subtype according to the criteria outlined by Gorno-Tempini et al. 2011
NACCPPME,D1,D,v1-2,Primary progressive aphasia (PPA) subtype according to older criteria outlined by Mesulam et al (2001 and 2003)
NACCBVFT,D1,D,v1-3,Dementia syndrome - behavioral variant FTD syndrome (bvFTD)
NACCLBDS,D1,D,v1-3,Dementia syndrome - Lewy body dementia syndrome
NAMNDEM,D1,O,v3,"Dementia syndrome - Non-amnestic multidomain dementia, not PCA, PPA, bvFTD, or DLB syndrome"
NACCTMCI,D1,D,v1-3,Mild cognitive impairment (MCI) type
NACCMCIL,D1,D,v1-3,MCI domain affected - language
NACCMCIA,D1,D,v1-3,MCI domain affected - attention
NACCMCIE,D1,D,v1-3,MCI domain affected - executive function
NACCMCIV,D1,D,v1-3,MCI domain affected - visuospatial
IMPNOMCI,D1,O,v1-3,"Cognitively impaired, not MCI"
AMYLPET,D1,O,v3,Abnormally elevated amyloid on PET
AMYLCSF,D1,O,v3,Abnormally low amyloid in CSF
FDGAD,D1,O,v3,FDG-PET pattern of AD
HIPPATR,D1,O,v3,Hippocampal atrophy
TAUPETAD,D1,O,v3,Tau PET evidence for AD
CSFTAU,D1,O,v3,Abnormally elevated CSF Tau or pTau
FDGFTLD,D1,O,v3,FDG-PET evidence for frontal or anterior temporal hypometabolism for FTLD
TPETFTLD,D1,O,v3,Tau PET evidence for FTLD
MRFTLD,D1,O,v3,Structural MR evidence for frontal or anterior temporal atrophy for FTLD
DATSCAN,D1,O,v3,Dopamine transporter scan (DATscan) evidence for Lewy body disease
OTHBIOM,D1,O,v3,biomarker findings - Other
OTHBIOMX,D1,O,v3,biomarker findings - Other (specify)
IMAGLINF,D1,O,v3,Large vessel infarct(s)
IMAGLAC,D1,O,v3,Lacunar infarct(s)
IMAGMACH,D1,O,v3,Macrohemorrhage(s)
IMAGMICH,D1,O,v3,Microhemorrhage(s)
IMAGMWMH,D1,O,v3,Moderate white-matter hyperintensity (CHS score 5-6)
IMAGEWMH,D1,O,v3,Extensive white-matter hyperintensity (CHS score 7-8)
OTHMUT,D1,O,v3,Does the subject have a hereditary mutation other than an AD or FTLD mutation?
OTHMUTX,D1,O,v3,"Other mutation, specify"
NACCALZD,D1,D,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Alzheimer's disease
NACCALZP,D1,D,v1-3,"Primary, contributing, or non-contributing cause of observed cognitive impairment - Alzheimer's disease (AD)"
PROBAD,D1,O,v1-2,Presumptive etiologic diagnosis of the cognitive disorder - Probable Alzheimer's disease
PROBADIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - Probable Alzheimer's disease"
POSSAD,D1,O,v1-2,Presumptive etiologic diagnosis of the cognitive disorder - Possible Alzheimer's disease
POSSADIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - Possible Alzheimer's disease"
NACCLBDE,D1,D,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Lewy body disease
NACCLBDP,D1,D,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Lewy body disease (LBD)"
PARK,D1,O,v1-3,Parkinson's disease present
MSA,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Multiple system atrophy (MSA)
MSAIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Multiple system atrophy (MSA)"
PSP,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - primary supranuclear palsy (PSP)
PSPIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Primary supranuclear palsy (PSP)"
CORT,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Corticobasal degeneration (CBD)
CORTIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Corticobasal degeneration (CBD)"
FTLDMO,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - FTLD with motor neuron disease (MND)
FTLDMOIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - FTLD with motor neuron disease (MND)"
FTLDNOS,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - FTLD not otherwise specified (NOS)
FTLDNOIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - FTLD not otherwise specified (NOS)"
FTD,D1,O,v1-2,Presence of behavioral frontotemporal dementia (bvFTD)
FTDIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - behavioral frontotemporal dementia (bvFTD)"
PPAPH,D1,O,v1-2,Presumptive etiologic diagnosis of the cognitive disorder - Primary progressive aphasia (PPA)
PPAPHIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - primary progressive aphasia (PPA)"
FTLDSUBT,D1,O,v3,FTLD subtype
FTLDSUBX,D1,O,v3,"Other FTLD subtype, specify"
CVD,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Vascular brain injury (VBI)
CVDIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - vascular brain injury"
PREVSTK,D1,O,v3,Previous symptomatic stroke
STROKDEC,D1,O,v3,Temporal relationship between stroke and cognitive decline
STKIMAG,D1,O,v3,Confirmation of stroke by neuroimaging
INFNETW,D1,O,v3,Imaging evidence of cystic infarction in cognitive network(s)
INFWMH,D1,O,v3,"Imaging evidence of cystic infarction, imaging evidence of extensive white matter hyperintensity (CHS grade 7-8+), and impairment in executive function"
VASC,D1,O,v1-2,Presumptive etiologic diagnosis of the cognitive disorder - Probable vascular dementia (NINDS/AIREN criteria)
VASCIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - Probable vascular dementia (NINDS/AIREN criteria)"
VASCPS,D1,O,v2,Presumptive etiologic diagnosis of the cognitive disorder - Possible vascular dementia (NINDS/AIREN criteria)
VASCPSIF,D1,O,v2,"Primary, contributing, or non-contributing cause of cognitive impairment - possible vascular dementia (NINDS/AIREN criteria)"
STROKE,D1,O,v1-2,Presumptive etiologic diagnosis of the cognitive disorder - Stroke
STROKIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - stroke"
ESSTREM,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Essential tremor
ESSTREIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Essential tremor"
DOWNS,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Down syndrome
DOWNSIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Down syndrome"
HUNT,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Huntington's disease
HUNTIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Huntington's disease"
PRION,D1,O,v1-3,"Presumptive etiologic diagnosis of the cognitive disorder - Prion disease (CJD, other)"
PRIONIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Prion disease (CJD, other)"
BRNINJ,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Traumatic brain injury (TBI)
BRNINJIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Traumatic brain injury (TBI)"
BRNINCTE,D1,O,v3,Symptoms consistent with chronic traumatic encephalopathy (CTE)
HYCEPH,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Normal-pressure hydrocephalus (NPH)
HYCEPHIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Normal-pressure hydrocephalus (NPH)"
EPILEP,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Epilepsy
EPILEPIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Epilepsy"
NEOP,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - CNS neoplasm
NEOPIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - CNS neoplasm"
NEOPSTAT,D1,O,v3,CNS neoplasm - benign or malignant
HIV,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Human immunodeficiency virus (HIV)
HIVIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - HIV"
OTHCOG,D1,O,v3,"Presumptive etiologic diagnosis of the cognitive disorder - Other neurological, genetic, or infectious condition"
OTHCOGIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Other neurological, genetic, or infectious condition"
OTHCOGX,D1,O,v3,"Presumptive etiologic diagnosis of the cognitive disorder - Other neurological, genetic, or infectious conditions (specify)"
DEP,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Depression
DEPIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Depression"
DEPTREAT,D1,O,v3,Depression - Treated or untreated
BIPOLDX,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - bipolar disorder
BIPOLDIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - bipolar disorder"
SCHIZOP,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Schizophrenia or other psychosis
SCHIZOIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Schizophrenia or other psychosis"
ANXIET,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Anxiety
ANXIETIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Anxiety"
DELIR,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Delirium
DELIRIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Delirium"
PTSDDX,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Post-traumatic stress disorder (PTSD)
PTSDDXIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - PTSD"
OTHPSY,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Other psychiatric disease
OTHPSYIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Other psychiatric disease"
OTHPSYX,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Other psychiatric disease (specify)
ALCDEM,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Cognitive impairment due to alcohol abuse
ALCDEMIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Alcohol abuse"
ALCABUSE,D1,O,v3,Current alcohol abuse
IMPSUB,D1,O,v3,Presumptive etiologic diagnosis of the cognitive disorder - Cognitive impairment due to other substance abuse
IMPSUBIF,D1,O,v3,"Primary, contributing, or non-contributing cause of cognitive impairment - Other substance abuse"
DYSILL,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Cognitive impairment due to systemic disease/ medical illness
DYSILLIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - systemic disease/ medical illness"
MEDS,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Cognitive impairment due to medications
MEDSIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - medications"
DEMUN,D1,O,v1-2,Presumptive etiologic diagnosis of the cognitive disorder - Undetermined etiology
DEMUNIF,D1,O,v1-2,"Primary, contributing, or non-contributing cause of cognitive impairment - Undetermined etiology"
COGOTH,D1,O,v1-3,Presumptive etiologic diagnosis of the cognitive disorder - Other 1 (specify)
COGOTHIF,D1,O,v1-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Other1 (specify)"
COGOTHX,D1,O,v1-3,"Other presumptive etiologic diagnosis of the cognitive disorder 1, specify"
COGOTH2,D1,O,v2-3,Presumptive etiologic diagnosis of the cognitive disorder - Other 2 (specify)
COGOTH2F,D1,O,v2-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Other 2 (specify)"
COGOTH2X,D1,O,v2-3,"Other presumptive etiologic diagnosis of the cognitive disorder 2, specify"
COGOTH3,D1,O,v2-3,Presumptive etiologic diagnosis of the cognitive disorder - Other 3 (specify)
COGOTH3F,D1,O,v2-3,"Primary, contributing, or non-contributing cause of cognitive impairment - Other 3 (specify)"
COGOTH3X,D1,O,v2-3,"Other presumptive etiologic diagnosis of the cognitive disorder 3, specify"
NACCNORM,D1,D,v1-3,Normal cognition at all visits to date
NACCIDEM,D1,D,v1-3,Incident dementia during UDS follow-up
NACCMCII,D1,D,v1-3,Incident MCI during UDS follow-up
NACCADMU,D1,D,v3,Does the subject have a dominantly inherited AD mutation?
NACCFTDM,D1,D,v3,Does the subject have an hereditary FTLD mutation?
NACCETPR,D1,D,v1-3,"Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia"
CANCER,D2,O,v3,"Cancer present in the last 12 months (excluding non-melanoma skin cancer), primary or metastatic"
CANCSITE,D2,O,v3,Cancer primary site specification
DIABET,D2,O,v3,Diabetes present at visit
MYOINF,D2,O,v3,Myocardial infarct present within the past 12 months
CONGHRT,D2,O,v3,Congestive heart failure present
AFIBRILL,D2,O,v3,Atrial fibrillation present
HYPERT,D2,O,v3,Hypertension present
ANGINA,D2,O,v3,Angina present
HYPCHOL,D2,O,v3,Hypercholesterolemia present
VB12DEF,D2,O,v3,b12 deficiency present
THYDIS,D2,O,v3,Thyroid disease present
ARTH,D2,O,v3,Arthritis present
ARTYPE,D2,O,v3,Arthritis type
ARTYPEX,D2,O,v3,Other arthritis type specification
ARTUPEX,D2,O,v3,Arthritis region affected - upper extremity
ARTLOEX,D2,O,v3,Arthritis region affected - lower extremity
ARTSPIN,D2,O,v3,Arthritis region affected - spine
ARTUNKN,D2,O,v3,Arthritis region affected - unknown
URINEINC,D2,O,v3,Incontinence present - urinary
BOWLINC,D2,O,v3,Incontinence present - bowel
SLEEPAP,D2,O,v3,Sleep apnea present
REMDIS,D2,O,v3,REM sleep behavior disorder (RBD) present
HYPOSOM,D2,O,v3,Hyposomnia/insomnia present
SLEEPOTH,D2,O,v3,Other sleep disorder present
SLEEPOTX,D2,O,v3,Other sleep disorder specification
ANGIOCP,D2,O,v3,"Carotid procedure: angioplasty, endarterectomy, or stent within the past 12 months"
ANGIOPCI,D2,O,v3,Percutaneous coronary intervention: angioplasty and/or stent within the past 12 months
PACEMAKE,D2,O,v3,Procedure: pacemaker and/or defibrillator within the past 12 months
HVALVE,D2,O,v3,Procedure: heart valve replacement or repair within the past 12 months
ANTIENC,D2,O,v3,Antibody-mediated encephalopathy within the past 12 months
ANTIENCX,D2,O,v3,"Antibody-mediated encephalopathy, specify"
OTHCOND,D2,O,v3,Other medical conditions or procedures within the past 12 months not listed above
OTHCONDX,D2,O,v3,Other medical conditions specification
LANGA1,Z1X,O,v3,A1 Subject Demographics - language
LANGA2,Z1X,O,v3,A2 Co-participant Demographics - language
LANGA3,Z1X,O,v3,A3 Subject Family History - language
LANGA4,Z1X,O,v3,A4 Subject Medications - language
LANGA5,Z1X,O,v3,A5 Subject Health History - language
LANGB1,Z1X,O,v3,B1 Evaluation Form: Physical - language
LANGB4,Z1X,O,v3,B4 Global Staging - CDR: Standard and Supplemental - language
LANGB5,Z1X,O,v3,B5 behavioral Assessment: NPI-Q - language
LANGB6,Z1X,O,v3,B6 behavioral Assessment: GDS - language
LANGB7,Z1X,O,v3,B7 Functional Assessment: FAS - language
LANGB8,Z1X,O,v3,B8 Neurological Examination Findings - language
LANGB9,Z1X,O,v3,B9 Clinician Judgment of Symptoms - language
LANGC2,Z1X,O,v3,C Neuropsychological battery Scores - language
LANGD1,Z1X,O,v3,D1 Clinician Diagnosis - language
LANGD2,Z1X,O,v3,D2 Clinician-assessed Medical Conditions - language
LANGB3F,Z1X,O,v3,B3F Supplemental UPDRS - language
